text,label
"I feel so stressed and tired","stress"
"I can't sleep at night","insomnia"
"I feel anxious all the time","anxiety"
"I am worried about my future","anxiety"
"I feel hopeless and sad","depression"
"I have lost interest in things","depression"
"I am having trouble concentrating","stress"
"I can't stop thinking about bad things","anxiety"
"I feel like crying for no reason","depression"
"I am nervous about everything","anxiety"
"I have no motivation to do anything","depression"
"My heart races and I feel dizzy","anxiety"
"I feel overwhelmed with my responsibilities","stress"
"I can't fall asleep even when I'm tired","insomnia"
"I feel numb and disconnected","depression"
"I'm scared of failing at everything","anxiety"
"I'm under too much pressure lately","stress"
"I wake up multiple times during the night","insomnia"
"I don't enjoy the things I used to","depression"
"I overthink every decision I make","anxiety"
"My body feels tense all the time","stress"
"I lie awake thinking for hours","insomnia"
"I feel like I'm a burden to everyone","depression"
"I get headaches from all the pressure","stress"
"I'm constantly worried something bad will happen","anxiety"
"I struggle to get out of bed in the morning","depression"
"I have trouble breathing when I panic","anxiety"
"I feel exhausted no matter how much I rest","stress"
"I can't calm my mind to sleep","insomnia"
"I feel like nothing matters anymore","depression"
"I worry about things I can't control","anxiety"
"I'm always behind on my work","stress"
"My mind races at night","insomnia"
"I feel worthless and empty","depression"

